day,apogee_alt_km,sma_km,ecc
   51.7696,   6074.8586,   9496.3795,  0.311341
   51.8762,   6074.4835,   9496.1900,  0.311328
   51.9828,   6074.1086,   9496.0004,  0.311315
   52.0894,   6073.7339,   9495.8108,  0.311301
   52.1960,   6073.3593,   9495.6212,  0.311288
   52.3026,   6072.9848,   9495.4315,  0.311275
   52.4091,   6072.6105,   9495.2418,  0.311262
   52.5157,   6072.2362,   9495.0521,  0.311248
   52.6223,   6071.8620,   9494.8623,  0.311235
   52.7288,   6071.4879,   9494.6725,  0.311222
   52.8354,   6071.1137,   9494.4826,  0.311209
   52.9420,   6070.7396,   9494.2926,  0.311196
   53.0485,   6070.3654,   9494.1027,  0.311183
   53.1551,   6069.9912,   9493.9126,  0.311169
   53.2616,   6069.6170,   9493.7225,  0.311156
   53.3682,   6069.2426,   9493.5324,  0.311143
   53.4747,   6068.8682,   9493.3422,  0.311130
   53.5813,   6068.4936,   9493.1519,  0.311117
   53.6878,   6068.1189,   9492.9617,  0.311103
   53.7943,   6067.7439,   9492.7713,  0.311090
   53.9009,   6067.3689,   9492.5809,  0.311077
   54.0074,   6066.9935,   9492.3905,  0.311064
   54.1139,   6066.6180,   9492.2000,  0.311051
   54.2205,   6066.2422,   9492.0094,  0.311037
   54.3270,   6065.8662,   9491.8188,  0.311024
   54.4335,   6065.4898,   9491.6282,  0.311011
   54.5400,   6065.1131,   9491.4375,  0.310997
   54.6465,   6064.7361,   9491.2468,  0.310984
   54.7530,   6064.3587,   9491.0560,  0.310971
   54.8595,   6063.9810,   9490.8652,  0.310957
   54.9660,   6063.6028,   9490.6743,  0.310944
   55.0725,   6063.2243,   9490.4834,  0.310930
   55.1790,   6062.8454,   9490.2925,  0.310917
   55.2855,   6062.4660,   9490.1016,  0.310903
   55.3920,   6062.0862,   9489.9106,  0.310889
   55.4985,   6061.7059,   9489.7196,  0.310876
   55.6050,   6061.3252,   9489.5286,  0.310862
   55.7115,   6060.9440,   9489.3376,  0.310848
   55.8179,   6060.5623,   9489.1466,  0.310834
   55.9244,   6060.1801,   9488.9556,  0.310820
   56.0309,   6059.7974,   9488.7646,  0.310806
   56.1373,   6059.4143,   9488.5736,  0.310792
   56.2438,   6059.0306,   9488.3827,  0.310778
   56.3503,   6058.6464,   9488.1917,  0.310764
   56.4567,   6058.2617,   9488.0008,  0.310750
   56.5632,   6057.8765,   9487.8099,  0.310736
   56.6696,   6057.4907,   9487.6191,  0.310722
   56.7761,   6057.1045,   9487.4283,  0.310707
   56.8825,   6056.7178,   9487.2376,  0.310693
   56.9889,   6056.3305,   9487.0469,  0.310678
   57.0954,   6055.9428,   9486.8563,  0.310664
